Soloist time: 40.50, Estimated time: 39.38, Accompanist time: 39.04, Playback rate: 1.58, Fuzzy membership: negative_small
Soloist time: 40.68, Estimated time: 39.57, Accompanist time: 39.34, Playback rate: 1.59, Fuzzy membership: negative_small
Soloist time: 40.87, Estimated time: 39.75, Accompanist time: 39.63, Playback rate: 1.59, Fuzzy membership: negative_small
Soloist time: 41.05, Estimated time: 39.94, Accompanist time: 39.93, Playback rate: 1.58, Fuzzy membership: zero
Soloist time: 41.24, Estimated time: 40.12, Accompanist time: 40.20, Playback rate: 1.50, Fuzzy membership: positive_small
Soloist time: 41.42, Estimated time: 40.31, Accompanist time: 40.44, Playback rate: 1.27, Fuzzy membership: positive_small
Soloist time: 41.61, Estimated time: 40.31, Accompanist time: 40.67, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 41.80, Estimated time: 40.31, Accompanist time: 40.81, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 41.98, Estimated time: 40.31, Accompanist time: 40.94, Playback rate: 0.70, Fuzzy membership: positive_large
Soloist time: 42.17, Estimated time: 40.68, Accompanist time: 41.06, Playback rate: 0.65, Fuzzy membership: positive_small
Soloist time: 42.35, Estimated time: 40.68, Accompanist time: 41.16, Playback rate: 0.56, Fuzzy membership: positive_large
Soloist time: 42.54, Estimated time: 41.42, Accompanist time: 41.30, Playback rate: 0.74, Fuzzy membership: negative_small
Soloist time: 42.72, Estimated time: 41.61, Accompanist time: 41.49, Playback rate: 1.04, Fuzzy membership: negative_small
Soloist time: 42.91, Estimated time: 41.80, Accompanist time: 41.72, Playback rate: 1.23, Fuzzy membership: negative_small
Soloist time: 43.10, Estimated time: 41.98, Accompanist time: 41.95, Playback rate: 1.24, Fuzzy membership: zero
Soloist time: 43.28, Estimated time: 42.17, Accompanist time: 42.18, Playback rate: 1.24, Fuzzy membership: zero
Soloist time: 43.47, Estimated time: 42.35, Accompanist time: 42.41, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 43.65, Estimated time: 42.54, Accompanist time: 42.64, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 43.84, Estimated time: 42.72, Accompanist time: 42.87, Playback rate: 1.23, Fuzzy membership: positive_small
